Show names,Release year,Genere,url,Imdb Ratings,streaming service
euphoria,2019,Science-Fiction,https://www.justwatch.com/in/tv-show/euphoria,8.3  (232k),Jio Cinema
lucifer,2016,Romance,https://www.justwatch.com/in/tv-show/lucifer,8.1  (351k),Netflix
modern-family,2009,Action & Adventure,https://www.justwatch.com/in/tv-show/modern-family,8.5  (475k),Hotstar
house-of-the-dragon,2022,Comedy,https://www.justwatch.com/in/tv-show/house-of-the-dragon,8.4  (361k),Jio Cinema
dehati-ladke,2023,Drama,https://www.justwatch.com/in/tv-show/dehati-ladke,7.1,Amazon miniTV
scam-2003-the-telgi-story,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/scam-2003-the-telgi-story,7.9  (6k),Sony Liv
mashle-magic-and-muscles,2023,Drama,https://www.justwatch.com/in/tv-show/mashle-magic-and-muscles,7.5  (5k),Crunchyroll
deaths-game,2023,Action & Adventure,https://www.justwatch.com/in/tv-show/deaths-game,8.6  (7k),Amazon Prime Video
fool-me-once,2024,Crime,https://www.justwatch.com/in/tv-show/fool-me-once,6.8  (44k),Netflix
what-if-2021,2021,Mystery & Thriller,https://www.justwatch.com/in/tv-show/what-if-2021,7.5  (88k),Hotstar
aspirants,2021,Drama,https://www.justwatch.com/in/tv-show/aspirants,9.2  (309k),Amazon Prime Video
peaky-blinders,2013,Fantasy,https://www.justwatch.com/in/tv-show/peaky-blinders,8.8  (634k),Netflix
the-boys,2019,Comedy,https://www.justwatch.com/in/tv-show/the-boys,8.7  (631k),Amazon Prime Video
the-twelve,2019,Drama,https://www.justwatch.com/in/tv-show/the-twelve,7.4  (6k),Netflix
one-punch-man,2015,Crime,https://www.justwatch.com/in/tv-show/one-punch-man,8.7  (183k),Crunchyroll
kubra,2024,Drama,https://www.justwatch.com/in/tv-show/kubra,6.3  (2k),Netflix
alexander-the-making-of-a-god,2024,Mystery & Thriller,https://www.justwatch.com/in/tv-show/alexander-the-making-of-a-god,5.1  (9k),Netflix
the-rookie,2018,Action & Adventure,https://www.justwatch.com/in/tv-show/the-rookie,9.0  (633k),Provider not found
better-call-saul,Release Year not found,Made in Europe,https://www.justwatch.com/in/tv-show/better-call-saul,8.5  (64k),Netflix
asur,2020,Drama,https://www.justwatch.com/in/tv-show/asur,8.7  (162k),Jio Cinema
naruto-shippuden,2007,Comedy,https://www.justwatch.com/in/tv-show/naruto-shippuden,8.3  (19k),Crunchyroll
apharan,2018,Crime,https://www.justwatch.com/in/tv-show/apharan,8.1  (1m),Voot
the-walking-dead,2010,Drama,https://www.justwatch.com/in/tv-show/the-walking-dead,7.2  (3k),Netflix
criminal-record,2024,Crime,https://www.justwatch.com/in/tv-show/criminal-record,8.7  (1m),Apple TV Plus
stranger-things,2016,Drama,https://www.justwatch.com/in/tv-show/stranger-things,8.4  (153k),Netflix
luther,2010,Mystery & Thriller,https://www.justwatch.com/in/tv-show/luther,,Provider not found
the-king-eternal-monarch,2020,Action & Adventure,https://www.justwatch.com/in/tv-show/the-king-eternal-monarch,8.0  (8k),Netflix
kaala-paani,2023,Crime,https://www.justwatch.com/in/tv-show/kaala-paani,7.2  (9k),Netflix
